MSSV,HoTen,Khoa,KhoaHoc,GPA_TichLuy,TinChiTichLuy,XepLoai
SV20210001,Hoàng Vy Vy,Kỹ thuật dữ liệu,K64,1.7,69,Cần cải thiện
SV20210002,Phạm Chi Ngọc,Kinh tế số,K65,3.0,74,Khá tích cực
SV20210003,Lê Lan My,Kinh tế số,K66,2.4,71,Cần cải thiện
SV20210004,Đỗ Chi Hà,Kỹ thuật dữ liệu,K64,2.3,56,Cần cải thiện
SV20210005,Nguyễn Hải Chi,Công nghệ thông tin,K65,1.7,46,Cần cải thiện
SV20210006,Vũ Giang Giang,Kinh tế số,K66,2.9,76,Khá tích cực
SV20210007,Bùi An Chi,Kỹ thuật dữ liệu,K64,2.9,88,Khá tích cực
SV20210008,Đỗ Quân Khánh,Công nghệ thông tin,K65,3.0,117,Khá tích cực
SV20210009,Trần Lan Bình,Kỹ thuật dữ liệu,K66,2.2,79,Cần cải thiện
SV20210010,Vũ Quân Hương,Kỹ thuật dữ liệu,K64,3.2,107,Khá
SV20210011,Nguyễn Giang Khánh,Công nghệ thông tin,K65,2.2,55,Cần cải thiện
SV20210012,Hoàng My Giang,Công nghệ thông tin,K66,2.6,65,Khá tích cực
SV20210013,Đặng Bình Hương,Kinh tế số,K64,2.5,77,Khá tích cực
SV20210014,Trần Vy Hân,Công nghệ thông tin,K65,2.7,84,Khá tích cực
SV20210015,Hoàng Phúc Vy,Kỹ thuật dữ liệu,K66,2.8,68,Khá tích cực
SV20210016,Bùi Trang Lan,Kinh tế số,K64,2.9,88,Khá tích cực
SV20210017,Nguyễn My Ngọc,Công nghệ thông tin,K65,2.8,87,Khá tích cực
SV20210018,Đỗ Trang An,Kinh tế số,K66,3.3,104,Khá
SV20210019,Phạm Khánh Chi,Công nghệ thông tin,K64,2.9,86,Khá tích cực
SV20210020,Phạm Hà Hà,Kinh tế số,K65,2.7,94,Khá tích cực
SV20210021,Hồ Hương Hân,Công nghệ thông tin,K66,2.3,49,Cần cải thiện
SV20210022,Bùi My Phúc,Công nghệ thông tin,K64,2.5,91,Khá tích cực
SV20210023,Phạm Trang Khánh,Công nghệ thông tin,K65,2.8,80,Khá tích cực
SV20210024,Hồ Chi Khánh,Công nghệ thông tin,K66,2.9,79,Khá tích cực
SV20210025,Hồ Long Chi,Công nghệ thông tin,K64,2.5,91,Khá tích cực
SV20210026,Hoàng Hân Khánh,Công nghệ thông tin,K65,2.6,96,Khá tích cực
SV20210027,Hồ Giang Khánh,Kỹ thuật dữ liệu,K66,2.4,71,Cần cải thiện
SV20210028,Phạm Giang Hương,Kinh tế số,K64,2.9,74,Khá tích cực
SV20210029,Trần Khánh Ngọc,Kinh tế số,K65,1.9,33,Cần cải thiện
SV20210030,Bùi Khánh Nam,Công nghệ thông tin,K66,3.1,100,Khá tích cực
SV20210031,Đặng Giang Ngọc,Kinh tế số,K64,2.9,79,Khá tích cực
SV20210032,Bùi Vy Giang,Kinh tế số,K65,3.2,101,Khá
SV20210033,Hồ Bình Hà,Kinh tế số,K66,2.8,92,Khá tích cực
SV20210034,Lê Dũng Hương,Kinh tế số,K64,2.8,80,Khá tích cực
SV20210035,Vũ Khánh Ngọc,Công nghệ thông tin,K65,2.6,59,Khá tích cực
SV20210036,Nguyễn Long Hải,Công nghệ thông tin,K66,2.9,85,Khá tích cực
SV20210037,Nguyễn Minh Hân,Công nghệ thông tin,K64,2.8,79,Khá tích cực
SV20210038,Vũ Linh Long,Kinh tế số,K65,3.0,82,Khá tích cực
SV20210039,Đỗ My Hải,Công nghệ thông tin,K66,2.6,80,Khá tích cực
SV20210040,Phạm Ngọc Nam,Công nghệ thông tin,K64,3.4,91,Khá
SV20210041,Đặng Phúc Chi,Kỹ thuật dữ liệu,K65,2.9,101,Khá tích cực
SV20210042,Hoàng Long Dũng,Công nghệ thông tin,K66,2.0,40,Cần cải thiện
SV20210043,Lê Bình Nam,Kinh tế số,K64,2.5,73,Khá tích cực
SV20210044,Đỗ Dũng My,Kỹ thuật dữ liệu,K65,2.2,72,Cần cải thiện
SV20210045,Hoàng Linh My,Kỹ thuật dữ liệu,K66,3.2,121,Khá
SV20210046,Hồ Quân An,Công nghệ thông tin,K64,3.1,114,Khá tích cực
SV20210047,Phạm An Linh,Kinh tế số,K65,2.7,59,Khá tích cực
SV20210048,Hồ Minh Nam,Công nghệ thông tin,K66,2.5,105,Khá tích cực
SV20210049,Hoàng My Hải,Kinh tế số,K64,2.1,72,Cần cải thiện
SV20210050,Hoàng Ngọc Dũng,Công nghệ thông tin,K65,2.4,84,Cần cải thiện
SV20210051,Bùi Quân Bình,Kinh tế số,K66,2.5,83,Khá tích cực
SV20210052,Hồ Hương Phúc,Công nghệ thông tin,K64,3.0,129,Khá tích cực
SV20210053,Đỗ Trang Quân,Công nghệ thông tin,K65,3.4,122,Khá
SV20210054,Trần Nam Minh,Kinh tế số,K66,1.8,52,Cần cải thiện
SV20210055,Đặng Hân Hương,Kinh tế số,K64,3.5,129,Khá
SV20210056,Phạm Long Long,Công nghệ thông tin,K65,3.2,88,Khá
SV20210057,Hoàng Lan Nam,Kỹ thuật dữ liệu,K66,3.0,59,Khá tích cực
SV20210058,Nguyễn An Bình,Kinh tế số,K64,2.7,55,Khá tích cực
SV20210059,Lê Dũng My,Công nghệ thông tin,K65,1.8,70,Cần cải thiện
SV20210060,Bùi Hải Vy,Công nghệ thông tin,K66,3.3,95,Khá
SV20210061,Nguyễn Hải Linh,Công nghệ thông tin,K64,2.3,80,Cần cải thiện
SV20210062,Đặng Hương Trang,Kỹ thuật dữ liệu,K65,3.2,83,Khá
SV20210063,Phạm An Giang,Công nghệ thông tin,K66,3.3,117,Khá
SV20210064,Hồ Long My,Công nghệ thông tin,K64,2.6,67,Khá tích cực
SV20210065,Trần Quân Hân,Công nghệ thông tin,K65,2.7,97,Khá tích cực
SV20210066,Đặng Dũng Trang,Công nghệ thông tin,K66,1.7,42,Cần cải thiện
SV20210067,Trần Dũng Linh,Công nghệ thông tin,K64,2.4,66,Cần cải thiện
SV20210068,Vũ Dũng Vy,Công nghệ thông tin,K65,2.4,70,Cần cải thiện
SV20210069,Đỗ Vy My,Kỹ thuật dữ liệu,K66,2.5,58,Khá tích cực
SV20210070,Nguyễn Nam Hương,Công nghệ thông tin,K64,3.3,88,Khá
SV20210071,Vũ Quân My,Kinh tế số,K65,2.9,53,Khá tích cực
SV20210072,Đặng Hân Phúc,Công nghệ thông tin,K66,2.7,65,Khá tích cực
SV20210073,Đỗ Hân Hân,Công nghệ thông tin,K64,2.1,72,Cần cải thiện
SV20210074,Nguyễn Ngọc Dũng,Kinh tế số,K65,2.2,52,Cần cải thiện
SV20210075,Đặng An Lan,Công nghệ thông tin,K66,1.9,60,Cần cải thiện
SV20210076,Vũ Linh Hân,Công nghệ thông tin,K64,3.3,86,Khá
SV20210077,Trần An Dũng,Kinh tế số,K65,3.7,117,Xuất sắc
SV20210078,Lê Khánh Giang,Công nghệ thông tin,K66,2.4,77,Cần cải thiện
SV20210079,Lê Linh Nam,Kinh tế số,K64,1.9,51,Cần cải thiện
SV20210080,Lê Nam Hân,Công nghệ thông tin,K65,2.6,59,Khá tích cực
SV20210081,Lê Dũng Nam,Kỹ thuật dữ liệu,K66,3.2,74,Khá
SV20210082,Đỗ My Ngọc,Công nghệ thông tin,K64,2.7,63,Khá tích cực
SV20210083,Đặng Giang Hải,Công nghệ thông tin,K65,2.6,85,Khá tích cực
SV20210084,Vũ Khánh Hân,Công nghệ thông tin,K66,3.1,111,Khá tích cực
SV20210085,Đặng Long Vy,Công nghệ thông tin,K64,1.7,44,Cần cải thiện
SV20210086,Trần Chi Khánh,Công nghệ thông tin,K65,2.3,68,Cần cải thiện
SV20210087,Vũ Hải Hải,Kỹ thuật dữ liệu,K66,2.6,69,Khá tích cực
SV20210088,Lê Nam Lan,Kinh tế số,K64,2.9,86,Khá tích cực
SV20210089,Phạm Hải Phúc,Kinh tế số,K65,1.9,55,Cần cải thiện
SV20210090,Đặng Minh Hương,Kinh tế số,K66,2.7,71,Khá tích cực
SV20210091,Hồ Ngọc Chi,Kỹ thuật dữ liệu,K64,3.6,106,Xuất sắc
SV20210092,Vũ Hương Hải,Công nghệ thông tin,K65,2.4,90,Cần cải thiện
SV20210093,Lê Long Hải,Kinh tế số,K66,2.0,78,Cần cải thiện
SV20210094,Lê Phúc Hải,Công nghệ thông tin,K64,3.1,117,Khá tích cực
SV20210095,Vũ Hải Long,Công nghệ thông tin,K65,3.3,80,Khá
SV20210096,Bùi Lan Hân,Công nghệ thông tin,K66,2.5,80,Khá tích cực
SV20210097,Hoàng Hải Bình,Công nghệ thông tin,K64,2.5,53,Khá tích cực
SV20210098,Phạm Hà Hải,Kinh tế số,K65,2.4,86,Cần cải thiện
SV20210099,Bùi Lan Ngọc,Kinh tế số,K66,1.7,50,Cần cải thiện
SV20210100,Hồ Khánh Bình,Kinh tế số,K64,3.3,85,Khá
SV20210101,Phạm Ngọc Nam,Công nghệ thông tin,K65,2.7,74,Khá tích cực
SV20210102,Lê Long Khánh,Công nghệ thông tin,K66,2.5,72,Khá tích cực
SV20210103,Nguyễn Hải Hương,Công nghệ thông tin,K64,2.7,109,Khá tích cực
SV20210104,Hồ Phúc My,Công nghệ thông tin,K65,2.5,66,Khá tích cực
SV20210105,Đặng Phúc Hương,Kinh tế số,K66,2.8,58,Khá tích cực
SV20210106,Lê Trang Hải,Công nghệ thông tin,K64,2.7,53,Khá tích cực
SV20210107,Trần Lan Vy,Công nghệ thông tin,K65,2.8,89,Khá tích cực
SV20210108,Đặng Phúc Bình,Kinh tế số,K66,3.8,132,Xuất sắc
SV20210109,Đỗ Trang An,Công nghệ thông tin,K64,2.1,36,Cần cải thiện
SV20210110,Hoàng Trang Dũng,Công nghệ thông tin,K65,2.8,76,Khá tích cực
SV20210111,Hoàng Chi Phúc,Công nghệ thông tin,K66,2.5,46,Khá tích cực
SV20210112,Đặng Linh Hà,Công nghệ thông tin,K64,3.8,90,Xuất sắc
SV20210113,Trần My Hà,Kỹ thuật dữ liệu,K65,3.0,75,Khá tích cực
SV20210114,Đỗ Ngọc Minh,Kỹ thuật dữ liệu,K66,2.6,71,Khá tích cực
SV20210115,Phạm Trang Hương,Kinh tế số,K64,1.9,35,Cần cải thiện
SV20210116,Hoàng Hải Lan,Công nghệ thông tin,K65,2.9,70,Khá tích cực
SV20210117,Hoàng Hải Giang,Kỹ thuật dữ liệu,K66,3.3,95,Khá
SV20210118,Bùi Nam Hân,Công nghệ thông tin,K64,2.1,64,Cần cải thiện
SV20210119,Bùi Hương Phúc,Công nghệ thông tin,K65,2.2,99,Cần cải thiện
SV20210120,Phạm Long Chi,Công nghệ thông tin,K66,2.9,108,Khá tích cực
SV20210121,Lê Dũng Hải,Kỹ thuật dữ liệu,K64,3.7,124,Xuất sắc
SV20210122,Hồ Linh Chi,Kinh tế số,K65,2.5,47,Khá tích cực
SV20210123,Vũ Hân Nam,Kinh tế số,K66,3.2,96,Khá
SV20210124,Lê Ngọc Giang,Công nghệ thông tin,K64,2.9,84,Khá tích cực
SV20210125,Vũ An Dũng,Kinh tế số,K65,2.2,45,Cần cải thiện
SV20210126,Đặng Hải Quân,Công nghệ thông tin,K66,1.8,59,Cần cải thiện
SV20210127,Hoàng Hà Bình,Công nghệ thông tin,K64,1.7,49,Cần cải thiện
SV20210128,Bùi Giang Hà,Công nghệ thông tin,K65,3.0,80,Khá tích cực
SV20210129,Hoàng Ngọc Nam,Công nghệ thông tin,K66,3.3,122,Khá
SV20210130,Phạm An Hân,Công nghệ thông tin,K64,3.2,105,Khá
SV20210131,Bùi Hân Minh,Kỹ thuật dữ liệu,K65,2.2,34,Cần cải thiện
SV20210132,Hồ Chi Khánh,Công nghệ thông tin,K66,2.4,56,Cần cải thiện
SV20210133,Đỗ Giang Trang,Công nghệ thông tin,K64,3.3,116,Khá
SV20210134,Bùi Ngọc Chi,Công nghệ thông tin,K65,2.4,66,Cần cải thiện
SV20210135,Trần Long Phúc,Kinh tế số,K66,2.3,88,Cần cải thiện
SV20210136,Đỗ Hân Nam,Kinh tế số,K64,2.8,88,Khá tích cực
SV20210137,Phạm Dũng Hải,Kinh tế số,K65,2.1,75,Cần cải thiện
SV20210138,Hoàng Dũng Dũng,Công nghệ thông tin,K66,3.6,128,Xuất sắc
SV20210139,Bùi Minh Phúc,Kinh tế số,K64,2.4,73,Cần cải thiện
SV20210140,Đặng Phúc Trang,Kỹ thuật dữ liệu,K65,2.5,58,Khá tích cực
SV20210141,Lê An Hương,Kỹ thuật dữ liệu,K66,3.0,90,Khá tích cực
SV20210142,Nguyễn Chi Bình,Công nghệ thông tin,K64,1.9,43,Cần cải thiện
SV20210143,Hồ Bình Linh,Kỹ thuật dữ liệu,K65,2.2,31,Cần cải thiện
SV20210144,Đặng Quân Chi,Kinh tế số,K66,3.4,93,Khá
SV20210145,Trần Long Hà,Kinh tế số,K64,3.6,89,Xuất sắc
SV20210146,Nguyễn Hương Ngọc,Kinh tế số,K65,2.5,75,Khá tích cực
